endpoint;min (q0);q1;median (q2);q3;max (q4);mean (μ);std (σ);application
/add_message;0.329;0.34;0.345;0.35;0.477;0.347;0.015;rust-actix
/add_message;0.428;0.451;0.492;0.537;0.737;0.494;0.046;ruby-sinatra
/add_message;0.195;0.215;0.219;0.223;0.407;0.222;0.015;javascript-express
/add_message;0.263;0.293;0.343;0.348;0.579;0.335;0.044;c-sharp-razor
/add_message;0.326;0.348;0.381;0.459;0.632;0.403;0.056;go-gorilla
/add_message;0.464;0.492;0.498;0.506;0.924;0.51;0.042;python-flask
/add_message;0.338;0.353;0.373;0.467;0.82;0.409;0.059;go-gin
/api/fllws/user;0.261;0.28;0.487;0.495;0.985;0.43;0.117;go-gorilla
/api/fllws/user;0.237;0.259;0.419;0.429;0.932;0.38;0.106;ruby-sinatra
/api/fllws/user;0.282;0.297;0.305;0.322;1.712;0.355;0.162;c-sharp-razor
/api/fllws/user;0.175;0.19;0.246;0.254;0.875;0.234;0.044;javascript-express
/api/fllws/user;0.26;0.277;0.329;0.338;0.579;0.322;0.04;rust-actix
/api/fllws/user;0.376;0.403;0.451;0.462;1.09;0.442;0.044;python-flask
/api/fllws/user;0.263;0.283;0.491;0.499;1.553;0.444;0.158;go-gin
/api/latest;0.166;0.178;0.18;0.185;0.311;0.184;0.012;python-flask
/api/latest;0.055;0.061;0.062;0.168;0.23;0.096;0.05;go-gorilla
/api/latest;0.061;0.067;0.07;0.139;0.244;0.093;0.034;c-sharp-razor
/api/latest;0.055;0.059;0.063;0.171;0.237;0.098;0.052;go-gin
/api/latest;0.106;0.114;0.117;0.167;0.24;0.134;0.027;rust-actix
/api/latest;0.073;0.081;0.086;0.092;0.209;0.088;0.01;ruby-sinatra
/api/latest;0.062;0.067;0.071;0.077;0.143;0.073;0.008;javascript-express
/api/msgs;0.22;0.23;0.233;0.243;0.971;0.258;0.058;go-gorilla
/api/msgs;0.222;0.232;0.234;0.245;0.724;0.258;0.054;go-gin
/api/msgs;0.21;0.221;0.225;0.262;0.394;0.239;0.026;rust-actix
/api/msgs;0.33;0.345;0.35;0.361;1.75;0.366;0.097;python-flask
/api/msgs;0.658;0.683;0.689;0.71;1.233;0.711;0.053;ruby-sinatra
/api/msgs;0.176;0.188;0.192;0.217;1.309;0.272;0.191;c-sharp-razor
/api/msgs;0.126;0.133;0.136;0.164;0.322;0.147;0.021;javascript-express
/api/msgs/user0;0.293;0.353;0.742;0.757;1.291;0.639;0.203;ruby-sinatra
/api/msgs/user0;0.179;0.189;0.194;0.209;0.461;0.204;0.023;javascript-express
/api/msgs/user0;0.272;0.288;0.378;0.385;0.835;0.358;0.061;go-gorilla
/api/msgs/user0;0.275;0.29;0.383;0.392;1.19;0.367;0.078;go-gin
/api/msgs/user0;0.381;0.399;0.404;0.414;1.807;0.419;0.079;python-flask
/api/msgs/user0;0.23;0.244;0.25;0.273;1.2;0.295;0.122;c-sharp-razor
/api/msgs/user0;0.259;0.278;0.327;0.333;0.782;0.316;0.036;rust-actix
/api/register;0.56;0.582;0.588;0.603;3.773;0.623;0.217;ruby-sinatra
/api/register;1.285;1.439;1.457;1.481;9.129;1.525;0.481;c-sharp-razor
/api/register;0.366;0.383;0.387;0.395;1.085;0.399;0.043;go-gin
/api/register;0.382;0.397;0.402;0.414;2.28;0.445;0.181;python-flask
/api/register;0.364;0.38;0.383;0.392;1.364;0.398;0.066;go-gorilla
/api/register;0.18;0.189;0.193;0.218;2.653;0.316;0.424;javascript-express
/api/register;0.259;0.272;0.276;0.295;0.738;0.309;0.069;rust-actix
/api/unfllws/user;0.488;0.509;0.516;0.527;1.091;0.526;0.035;python-flask
/api/unfllws/user;0.232;0.243;0.249;0.26;0.64;0.262;0.037;javascript-express
/api/unfllws/user;0.393;0.408;0.414;0.429;1.486;0.438;0.064;c-sharp-razor
/api/unfllws/user;0.417;0.435;0.439;0.446;1.205;0.452;0.044;go-gin
/api/unfllws/user;0.315;0.331;0.335;0.358;0.612;0.348;0.027;rust-actix
/api/unfllws/user;0.416;0.432;0.436;0.445;0.74;0.448;0.033;go-gorilla
