endpoint;min (q0);q1;median (q2);q3;max (q4);mean (μ);std (σ);application
/add_message;2.905;2.933;2.943;2.952;2.98;2.966;0.116;rust-actix
/add_message;2.924;2.972;2.984;3.005;3.053;3.031;0.161;ruby-sinatra
/add_message;2.951;2.997;3.011;3.029;3.075;3.065;0.199;javascript-express
/add_message;2.941;3.022;3.035;3.346;3.833;3.197;0.34;c-sharp-razor
/add_message;2.934;2.96;2.971;2.978;3.004;2.992;0.127;go-gorilla
/add_message;2.913;2.96;2.97;2.991;3.039;3.015;0.164;python-flask
/add_message;2.933;2.96;2.971;2.978;3.005;2.994;0.137;go-gin
/api/fllws/user;2.931;2.96;2.971;2.979;3.008;2.996;0.133;go-gorilla
/api/fllws/user;2.903;2.971;2.982;3.016;3.083;3.042;0.181;ruby-sinatra
/api/fllws/user;2.937;3.006;3.026;3.052;3.121;3.117;0.303;c-sharp-razor
/api/fllws/user;2.921;2.996;3.01;3.046;3.122;3.093;0.245;javascript-express
/api/fllws/user;2.896;2.928;2.938;2.949;2.981;2.967;0.13;rust-actix
/api/fllws/user;2.92;2.958;2.969;2.984;3.023;3.012;0.169;python-flask
/api/fllws/user;2.931;2.96;2.971;2.979;3.008;2.996;0.132;go-gin
/api/latest;2.905;2.958;2.969;2.994;3.047;3.023;0.187;python-flask
/api/latest;2.925;2.961;2.973;2.985;3.022;3.005;0.138;go-gorilla
/api/latest;2.932;3.012;3.025;3.068;3.152;3.144;0.337;c-sharp-razor
/api/latest;2.921;2.96;2.971;2.986;3.025;3.007;0.145;go-gin
/api/latest;2.897;2.932;2.942;2.955;2.989;2.973;0.131;rust-actix
/api/latest;2.887;2.972;2.985;3.059;3.188;3.079;0.202;ruby-sinatra
/api/latest;2.917;2.997;3.011;3.054;3.14;3.113;0.271;javascript-express
/api/msgs;2.918;2.96;2.972;2.988;3.031;3.028;0.205;go-gorilla
/api/msgs;2.92;2.961;2.972;2.989;3.03;3.025;0.207;go-gin
/api/msgs;2.892;2.924;2.934;2.945;2.977;2.963;0.126;rust-actix
/api/msgs;2.918;2.96;2.971;2.989;3.031;3.017;0.173;python-flask
/api/msgs;2.93;2.972;2.983;3.0;3.042;3.028;0.164;ruby-sinatra
/api/msgs;2.936;3.01;3.032;3.072;3.165;3.143;0.321;c-sharp-razor
