endpoint;min (q0);q1;median (q2);q3;max (q4);mean (μ);std (σ);application
/add_message;0.115;0.115;0.117;0.119;0.12;0.117;0.002;rust-actix
/api/fllws/user;0.091;0.094;0.112;0.114;0.152;0.108;0.013;rust-actix
/api/latest;0.037;0.039;0.04;0.057;0.061;0.045;0.009;rust-actix
/api/msgs;0.073;0.076;0.076;0.083;0.101;0.081;0.008;rust-actix
/api/msgs/user0;0.091;0.095;0.111;0.113;0.205;0.107;0.011;rust-actix
/api/register;0.091;0.093;0.094;0.097;0.193;0.104;0.023;rust-actix
/api/unfllws/user;0.11;0.113;0.114;0.117;0.154;0.117;0.008;rust-actix
/login;0.13;0.135;0.137;0.144;0.144;0.139;0.005;rust-actix
/logout;0.04;0.045;0.045;0.045;0.049;0.045;0.001;rust-actix
/public;0.039;0.042;0.042;0.042;0.146;0.044;0.013;rust-actix
/register;0.077;0.081;0.081;0.081;0.087;0.081;0.002;rust-actix
/user/follow;0.185;0.188;0.189;0.209;0.209;0.197;0.01;rust-actix
/user/unfollow;0.099;0.099;0.15;0.153;0.161;0.131;0.027;rust-actix
/user/user0;0.092;0.094;0.097;0.097;0.137;0.097;0.009;rust-actix
/add_message;0.148;0.151;0.153;0.18;0.18;0.163;0.014;ruby-sinatra
/api/fllws/user;0.082;0.085;0.141;0.142;0.226;0.125;0.035;ruby-sinatra
/api/latest;0.025;0.027;0.028;0.031;0.056;0.029;0.003;ruby-sinatra
/api/msgs;0.227;0.229;0.23;0.234;0.317;0.235;0.013;ruby-sinatra
/api/msgs/user0;0.101;0.109;0.249;0.252;0.331;0.211;0.067;ruby-sinatra
/api/register;0.193;0.195;0.196;0.199;0.91;0.205;0.068;ruby-sinatra
/api/unfllws/user;0.101;0.104;0.105;0.106;0.12;0.105;0.003;ruby-sinatra
/login;0.092;0.095;0.097;0.097;0.105;0.096;0.002;ruby-sinatra
/logout;0.065;0.067;0.067;0.067;0.072;0.067;0.001;ruby-sinatra
/public;0.047;0.05;0.052;0.052;0.058;0.052;0.002;ruby-sinatra
/register;0.182;0.184;0.189;0.197;0.202;0.191;0.006;ruby-sinatra
/user/follow;0.202;0.204;0.206;0.206;0.214;0.206;0.003;ruby-sinatra
/user/unfollow;0.03;0.03;0.164;0.168;0.182;0.113;0.068;ruby-sinatra
/user/user0;0.121;0.123;0.123;0.124;0.165;0.125;0.007;ruby-sinatra
/add_message;0.113;0.117;0.124;0.154;0.154;0.135;0.018;go-gorilla
/api/fllws/user;0.09;0.093;0.165;0.166;0.241;0.143;0.039;go-gorilla
/api/latest;0.019;0.02;0.021;0.057;0.057;0.032;0.017;go-gorilla
/api/msgs;0.076;0.078;0.078;0.079;0.211;0.085;0.019;go-gorilla
/api/msgs/user0;0.094;0.096;0.128;0.129;0.21;0.119;0.02;go-gorilla
/api/register;0.127;0.128;0.129;0.13;0.397;0.133;0.022;go-gorilla
/api/unfllws/user;0.144;0.146;0.147;0.149;0.182;0.15;0.009;go-gorilla
/login;0.077;0.081;0.154;0.154;0.154;0.12;0.037;go-gorilla
/logout;0.023;0.052;0.052;0.052;0.052;0.049;0.009;go-gorilla
/public;0.022;0.044;0.044;0.044;0.044;0.04;0.008;go-gorilla
/register;0.077;0.081;0.098;0.098;0.098;0.092;0.009;go-gorilla
/user/follow;0.165;0.169;0.17;0.187;0.187;0.177;0.009;go-gorilla
/user/unfollow;0.147;0.15;0.153;0.169;0.169;0.158;0.009;go-gorilla
/user/user0;0.075;0.077;0.095;0.095;0.095;0.087;0.009;go-gorilla
/add_message;0.117;0.119;0.121;0.157;0.157;0.137;0.019;go-gin
/api/fllws/user;0.091;0.094;0.166;0.167;0.361;0.148;0.052;go-gin
/api/latest;0.019;0.02;0.021;0.058;0.058;0.033;0.017;go-gin
/api/msgs;0.077;0.078;0.079;0.08;0.133;0.085;0.017;go-gin
/api/msgs/user0;0.095;0.097;0.129;0.131;0.296;0.122;0.026;go-gin
/api/register;0.127;0.129;0.13;0.131;0.275;0.133;0.013;go-gin
/api/unfllws/user;0.145;0.147;0.148;0.148;0.295;0.151;0.013;go-gin
/login;0.078;0.082;0.154;0.154;0.154;0.121;0.036;go-gin
/logout;0.007;0.007;0.007;0.007;0.007;0.007;0.0;go-gin
/public;0.022;0.043;0.043;0.043;0.043;0.039;0.008;go-gin
/register;0.077;0.08;0.101;0.101;0.101;0.093;0.011;go-gin
/user/follow;0.169;0.171;0.175;0.194;0.194;0.181;0.011;go-gin
/user/unfollow;0.118;0.118;0.153;0.154;0.164;0.14;0.018;go-gin
/user/user0;0.076;0.078;0.098;0.098;0.098;0.089;0.01;go-gin
/add_message;0.161;0.166;0.168;0.168;0.22;0.169;0.01;python-flask
/api/fllws/user;0.131;0.135;0.152;0.155;0.249;0.147;0.012;python-flask
/api/latest;0.057;0.06;0.061;0.061;0.072;0.061;0.002;python-flask
/api/msgs;0.114;0.116;0.118;0.119;0.456;0.121;0.032;python-flask
/api/msgs/user0;0.132;0.134;0.135;0.137;0.473;0.139;0.025;python-flask
/api/register;0.132;0.134;0.135;0.136;0.467;0.147;0.059;python-flask
/api/unfllws/user;0.17;0.172;0.173;0.176;0.247;0.175;0.006;python-flask
/login;0.139;0.144;0.146;0.166;0.169;0.154;0.011;python-flask
/logout;0.07;0.073;0.074;0.074;0.074;0.074;0.001;python-flask
/public;0.062;0.065;0.067;0.067;0.101;0.067;0.005;python-flask
/register;0.083;0.088;0.111;0.111;0.111;0.104;0.011;python-flask
/user/follow;0.214;0.219;0.222;0.222;0.234;0.221;0.004;python-flask
/user/unfollow;0.085;0.085;0.24;0.241;0.275;0.193;0.074;python-flask
/user/user0;0.12;0.122;0.124;0.124;0.159;0.125;0.006;python-flask
/add_message;0.088;0.094;0.115;0.115;0.115;0.105;0.01;c-sharp-razor
/api/fllws/user;0.096;0.098;0.1;0.103;0.349;0.114;0.051;c-sharp-razor
/api/latest;0.021;0.022;0.023;0.047;0.047;0.03;0.011;c-sharp-razor
